WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
6.22	1.85	8.27	0.44	1.23	2.67	0.284	0.221
6.04	2.0	4.0	0.33	1.24	3.37	0.293	0.266
5.46	2.94	6.11	0.24	1.13	2.87	0.291	0.244
4.56	3.25	4.74	0.41	1.06	3.03	0.242	0.217
4.23	2.46	5.52	0.31	1.17	3.58	0.359	0.314
4.16	2.64	4.21	0.14	1.0	2.46	0.251	0.222
3.72	2.77	2.15	0.45	1.36	3.48	0.306	0.298
3.71	2.95	3.58	0.35	1.33	3.82	0.265	0.248
3.4	2.03	3.77	0.58	1.19	3.58	0.276	0.261
3.34	1.81	3.35	0.45	1.43	4.41	0.259	0.245
3.34	1.81	3.35	0.45	1.43	4.41	0.259	0.245
3.34	1.81	3.35	0.45	1.43	4.41	0.259	0.245
3.06	2.46	5.56	0.68	1.05	3.56	0.289	0.258
3.01	2.41	2.58	0.6	1.51	4.86	0.297	0.292
2.99	3.5	4.17	0.72	1.06	3.35	0.273	0.256
2.89	3.42	5.13	0.94	1.22	3.3	0.293	0.269
2.83	1.56	5.52	0.86	1.23	2.6	0.263	0.239
2.27	2.61	4.28	0.51	1.53	3.96	0.285	0.268
2.03	3.32	7.08	0.78	1.19	3.73	0.264	0.224
2.02	3.3	3.3	0.52	1.38	3.5	0.244	0.232
1.69	4.08	3.57	0.31	1.36	3.65	0.271	0.248
1.49	3.53	6.77	0.78	1.4	3.48	0.263	0.226
1.49	3.53	6.77	0.78	1.4	3.48	0.263	0.226
1.49	3.53	6.77	0.78	1.4	3.48	0.263	0.226
1.39	3.78	3.78	0.76	1.4	4.59	0.378	0.356
1.34	2.9	4.42	0.76	1.49	4.29	0.352	0.323
1.28	3.92	2.1	0.42	1.59	3.79	0.292	0.286
1.27	3.39	6.39	0.85	1.33	4.53	0.287	0.252
1.23	2.43	2.68	0.73	1.46	5.23	0.4	0.389
1.09	4.15	1.97	0.42	1.53	4.12	0.293	0.286
1.08	1.78	4.61	1.05	1.2	4.01	0.275	0.261
0.94	3.91	4.71	0.69	1.31	3.56	0.314	0.285
0.9	4.05	4.73	0.9	1.44	3.2	0.268	0.252
0.89	4.81	5.42	0.61	1.45	4.18	0.295	0.261
0.89	4.81	5.42	0.61	1.45	4.18	0.295	0.261
0.89	4.81	5.42	0.61	1.45	4.18	0.295	0.261
0.77	2.57	6.43	1.29	1.57	2.92	0.312	0.283
0.76	4.84	4.43	0.65	1.48	4.16	0.282	0.26
0.73	2.03	3.21	1.01	1.26	4.56	0.304	0.298
0.69	1.8	5.04	1.02	1.23	3.34	0.335	0.311
0.52	2.22	4.04	1.11	1.38	4.14	0.286	0.28
0.51	2.95	5.48	1.31	1.47	4.79	0.255	0.246
0.43	5.09	3.31	0.51	1.18	5.72	0.311	0.293
0.38	3.01	4.48	1.04	1.46	3.8	0.291	0.277
0.35	5.4	2.7	0.6	1.8	4.77	0.327	0.313
0.1	4.6	5.83	1.23	1.39	4.38	0.282	0.264
0.1	4.6	5.83	1.23	1.39	4.38	0.282	0.264
0.1	4.6	5.83	1.23	1.39	4.38	0.282	0.264
0.08	3.41	2.17	1.24	1.41	4.8	0.263	0.273
-0.04	6.6	5.1	0.9	1.67	4.56	0.293	0.278
-0.1	4.49	6.19	0.93	2.03	3.87	0.308	0.273
-0.16	4.74	5.18	1.37	1.7	5.72	0.261	0.253
-0.41	3.91	7.46	1.78	1.8	4.83	0.226	0.221
-0.47	4.38	3.65	1.46	1.87	3.78	0.301	0.3
-0.96	6.17	3.33	2.33	1.96	7.49	0.297	0.317
7.71	1.91	14.18	0.82	1.12	3.14	0.262	0.165
6.14	2.25	7.85	0.48	1.23	3.6	0.279	0.223
5.52	2.17	5.34	0.22	1.05	2.59	0.287	0.247
5.06	1.89	5.14	0.22	1.09	3.58	0.304	0.264
4.62	3.27	8.95	0.43	1.15	2.62	0.303	0.229
4.56	3.15	9.67	0.84	1.24	2.65	0.224	0.177
3.72	3.29	9.15	0.84	0.97	2.91	0.292	0.233
3.69	2.57	5.14	0.0	1.31	4.2	0.389	0.345
3.27	2.44	6.48	0.4	1.24	3.71	0.278	0.234
3.05	3.32	6.43	0.21	1.26	3.5	0.345	0.287
3.05	3.32	6.43	0.21	1.26	3.5	0.345	0.287
3.05	3.32	6.43	0.21	1.26	3.5	0.345	0.287
3.0	2.29	6.86	0.87	1.28	3.4	0.271	0.234
2.99	2.32	6.39	0.58	1.49	4.32	0.325	0.282
2.85	2.04	4.07	0.27	1.41	4.53	0.335	0.306
2.72	3.01	9.13	0.85	1.31	4.55	0.32	0.254
2.72	2.06	4.46	0.23	1.23	3.1	0.256	0.23
2.66	2.69	6.26	0.61	1.43	3.81	0.3	0.258
2.65	3.73	5.46	0.18	1.4	3.7	0.357	0.312
2.49	3.17	9.18	0.88	1.46	4.49	0.263	0.209
2.48	2.56	5.2	0.54	1.1	3.17	0.289	0.256
2.42	2.61	2.13	0.24	1.18	2.87	0.294	0.281
2.42	2.61	2.13	0.24	1.18	2.87	0.294	0.281
2.42	2.61	2.13	0.24	1.18	2.87	0.294	0.281
2.37	5.06	6.62	0.39	1.46	4.22	0.303	0.257
2.23	5.59	4.28	0.0	1.4	3.83	0.283	0.249
2.15	3.77	5.15	0.44	1.48	3.15	0.293	0.259
2.13	2.41	5.79	0.72	1.6	3.5	0.287	0.258
2.05	3.08	9.93	1.54	1.37	3.2	0.327	0.262
1.95	2.88	6.48	0.72	1.06	3.4	0.357	0.308
1.81	3.61	4.86	0.53	1.34	3.8	0.305	0.275
1.66	3.24	5.47	0.72	1.47	3.34	0.303	0.276
1.63	2.29	3.76	0.82	0.79	1.77	0.318	0.302
1.63	4.23	7.84	0.75	1.4	4.12	0.35	0.292
1.63	4.23	7.84	0.75	1.4	4.12	0.35	0.292
1.63	4.23	7.84	0.75	1.4	4.12	0.35	0.292
1.43	1.66	5.68	1.18	1.45	4.26	0.259	0.241
1.39	2.7	5.21	0.77	1.38	4.87	0.27	0.249
1.39	3.29	5.6	0.66	1.32	4.69	0.222	0.202
1.36	2.22	9.07	1.41	1.53	4.11	0.271	0.229
1.36	3.32	4.68	0.68	1.59	4.23	0.323	0.297
1.19	2.65	4.85	0.88	1.2	4.01	0.308	0.284
1.17	2.96	5.77	0.91	1.49	4.78	0.29	0.263
1.1	2.93	6.03	0.9	1.56	3.65	0.328	0.292
1.05	3.72	5.96	0.84	1.44	4.43	0.337	0.301
1.02	2.84	5.11	0.79	1.12	4.1	0.319	0.291
1.02	2.84	5.11	0.79	1.12	4.1	0.319	0.291
1.02	2.84	5.11	0.79	1.12	4.1	0.319	0.291
0.93	3.98	5.69	0.62	0.87	4.53	0.311	0.275
0.84	4.31	6.82	1.11	1.38	4.97	0.278	0.251
0.84	2.74	9.0	1.76	1.08	3.92	0.265	0.234
0.83	4.78	5.34	0.56	1.4	5.3	0.4	0.358
0.82	4.46	6.78	0.83	1.43	4.62	0.306	0.263
0.81	3.65	4.81	0.87	1.6	3.9	0.289	0.27
0.81	1.16	5.23	1.45	1.51	3.68	0.207	0.211
0.7	3.29	4.7	1.16	1.37	3.65	0.255	0.249
0.63	4.13	6.36	1.0	1.47	3.87	0.285	0.255
0.61	2.04	4.99	1.48	1.1	4.06	0.29	0.28
0.61	2.04	4.99	1.48	1.1	4.06	0.29	0.28
0.61	2.04	4.99	1.48	1.1	4.06	0.29	0.28
0.57	3.25	6.03	1.33	1.6	3.8	0.316	0.291
0.56	2.23	5.35	1.56	1.17	4.46	0.293	0.281
0.52	1.74	6.82	1.89	1.69	3.12	0.302	0.283
0.49	3.45	5.1	1.35	1.36	5.19	0.267	0.256
0.43	3.3	6.9	1.5	1.92	5.68	0.345	0.31
0.36	5.89	5.4	0.98	1.32	4.94	0.33	0.301
0.25	3.33	6.84	1.48	1.8	5.18	0.276	0.254
0.23	3.22	3.72	0.99	1.48	5.39	0.381	0.361
0.23	4.79	6.19	1.32	1.25	5.52	0.252	0.237
0.22	3.08	5.81	1.37	1.53	4.98	0.31	0.286
0.22	3.08	5.81	1.37	1.53	4.98	0.31	0.286
0.22	3.08	5.81	1.37	1.53	4.98	0.31	0.286
0.11	4.93	6.99	1.51	1.91	4.46	0.321	0.288
0.09	3.38	6.75	2.25	1.74	6.18	0.217	0.226
0.03	5.27	3.83	1.12	1.65	5.47	0.333	0.321
-0.06	5.97	4.71	1.26	1.96	6.31	0.281	0.274
-0.34	5.54	4.15	1.39	1.93	5.24	0.388	0.383
-0.55	6.16	4.4	1.47	2.04	6.36	0.33	0.317
-0.7	4.8	5.4	1.8	2.31	6.3	0.367	0.349
5.67	5.55	15.39	0.25	1.41	4.76	0.29	0.153
4.31	1.86	9.68	0.37	1.34	4.93	0.346	0.257
4.24	2.91	7.35	0.17	1.24	4.51	0.269	0.212
4.16	4.1	10.58	0.43	1.53	4.81	0.361	0.258
4.01	2.87	7.47	0.14	1.16	3.99	0.28	0.22
3.66	1.74	9.41	0.7	1.24	3.33	0.232	0.18
3.54	2.05	6.4	0.47	1.4	4.43	0.312	0.264
3.35	3.16	9.34	0.72	1.39	4.14	0.29	0.221
3.31	2.99	7.33	0.54	1.21	3.16	0.293	0.241
3.26	2.19	5.01	0.39	1.11	3.71	0.295	0.264
3.26	2.19	5.01	0.39	1.11	3.71	0.295	0.264
3.26	2.19	5.01	0.39	1.11	3.71	0.295	0.264
3.25	3.38	5.57	0.34	1.3	3.62	0.277	0.238
