WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
5.79	1.42	6.25	0.14	1.25	2.77	0.239	0.2
5.43	3.79	11.49	0.59	1.23	3.03	0.255	0.172
3.46	2.27	4.99	0.69	0.99	2.51	0.292	0.266
3.43	3.07	4.26	0.52	1.12	3.39	0.267	0.245
3.21	3.39	5.6	0.62	1.28	3.06	0.282	0.248
2.82	2.58	4.42	0.86	0.88	2.1	0.266	0.251
2.4	3.26	1.4	0.23	1.32	3.63	0.315	0.315
2.17	1.75	4.01	0.51	1.33	4.64	0.274	0.254
1.73	3.84	5.44	0.56	1.31	3.49	0.322	0.287
1.64	4.65	3.89	0.38	1.23	3.19	0.245	0.225
1.64	4.65	3.89	0.38	1.23	3.19	0.245	0.225
1.64	4.65	3.89	0.38	1.23	3.19	0.245	0.225
1.33	4.49	3.22	0.18	1.51	3.42	0.246	0.228
1.31	4.98	2.99	0.62	1.25	4.45	0.247	0.239
1.26	3.64	3.27	0.63	1.45	5.52	0.285	0.272
1.15	5.58	6.48	0.72	1.4	4.27	0.322	0.28
0.78	2.76	4.53	0.94	1.56	4.77	0.27	0.256
0.68	2.87	2.76	1.14	1.66	4.43	0.266	0.27
0.2	3.83	5.63	1.14	1.45	4.29	0.318	0.291
0.06	2.24	5.27	1.76	1.55	3.33	0.311	0.301
-0.21	3.09	5.08	2.09	1.71	6.43	0.325	0.32
5.58	2.24	8.35	0.6	1.09	3.05	0.308	0.244
4.75	4.88	7.48	0.0	1.11	4.19	0.267	0.211
3.55	3.68	6.14	0.25	1.34	3.73	0.349	0.293
3.32	1.89	5.6	0.54	1.43	3.99	0.273	0.24
3.21	2.27	7.32	0.76	1.03	3.3	0.302	0.254
3.13	1.42	6.13	0.71	1.31	4.77	0.274	0.24
3.08	2.08	9.69	1.04	1.18	4.07	0.3	0.242
2.37	2.77	7.1	0.52	1.45	4.69	0.316	0.263
2.15	1.94	5.47	0.71	1.42	4.02	0.354	0.317
2.01	1.52	1.06	0.15	1.13	2.77	0.394	0.35
2.01	1.52	1.06	0.15	1.13	2.77	0.394	0.35
2.01	1.52	1.06	0.15	1.13	2.77	0.394	0.35
1.98	3.1	5.02	0.3	0.4	3.6	0.365	0.319
1.87	3.19	4.05	0.48	1.57	4.06	0.287	0.263
1.79	3.04	3.8	0.51	1.38	4.29	0.309	0.289
1.44	3.12	3.74	0.62	1.41	3.92	0.342	0.318
1.34	2.61	5.11	0.91	1.51	3.58	0.314	0.289
1.26	4.19	6.54	0.63	1.59	4.0	0.302	0.26
1.24	3.99	5.04	0.42	1.57	3.7	0.331	0.296
1.17	2.28	6.68	1.14	1.64	4.57	0.333	0.293
1.15	5.51	8.43	0.68	1.27	2.77	0.323	0.258
1.14	2.96	6.35	1.02	1.39	4.15	0.266	0.239
1.14	2.96	6.35	1.02	1.39	4.15	0.266	0.239
1.14	2.96	6.35	1.02	1.39	4.15	0.266	0.239
1.13	2.65	3.36	0.71	1.29	3.4	0.299	0.286
1.05	2.31	6.01	1.07	1.57	4.38	0.253	0.233
0.95	2.69	2.56	0.72	1.41	4.62	0.292	0.287
0.79	4.92	4.83	0.58	1.48	3.73	0.311	0.28
0.76	3.98	3.77	0.63	1.58	5.56	0.27	0.255
0.72	4.6	3.81	0.44	1.61	5.01	0.325	0.3
0.6	2.89	4.27	1.24	1.42	4.82	0.293	0.284
0.59	3.52	7.04	1.17	1.59	3.81	0.337	0.295
0.55	4.38	4.58	0.61	1.15	3.24	0.282	0.26
0.55	6.75	4.18	0.32	1.4	4.44	0.365	0.327
0.55	6.75	4.18	0.32	1.4	4.44	0.365	0.327
0.55	6.75	4.18	0.32	1.4	4.44	0.365	0.327
0.47	3.73	7.0	1.27	1.47	2.84	0.267	0.24
0.37	4.32	6.7	1.08	1.15	3.33	0.283	0.253
0.32	5.25	3.89	0.53	1.55	4.66	0.296	0.274
0.16	3.2	1.6	1.2	1.49	5.34	0.281	0.295
0.11	3.98	5.47	1.66	1.75	6.71	0.313	0.297
-0.05	6.75	5.22	1.23	2.04	4.73	0.32	0.297
-0.23	4.14	4.87	1.95	1.68	6.67	0.306	0.308
-0.3	5.91	2.95	1.13	1.94	6.39	0.283	0.286
6.54	2.22	8.26	0.0	1.27	3.05	0.179	0.129
4.61	3.02	6.89	0.14	1.27	3.75	0.313	0.256
4.14	1.94	6.1	0.28	1.37	4.46	0.319	0.271
3.91	4.08	9.08	0.34	1.18	4.35	0.272	0.206
3.57	2.6	5.34	0.14	1.46	3.8	0.274	0.236
2.66	2.49	7.09	0.5	1.19	3.05	0.299	0.249
2.65	2.46	5.52	0.41	1.2	3.21	0.299	0.262
2.61	3.27	5.33	0.17	1.38	3.61	0.292	0.254
2.59	2.49	5.8	0.48	1.37	3.71	0.328	0.285
2.18	3.08	8.15	0.36	1.17	3.12	0.336	0.264
2.18	3.08	8.15	0.36	1.17	3.12	0.336	0.264
2.18	3.08	8.15	0.36	1.17	3.12	0.336	0.264
1.97	3.3	7.6	0.4	1.42	3.81	0.36	0.295
1.8	1.79	4.56	0.62	1.32	4.06	0.306	0.281
1.67	4.91	8.46	0.27	1.27	4.7	0.33	0.26
1.64	3.23	7.63	0.61	1.71	5.41	0.349	0.287
1.62	2.67	5.63	0.7	1.25	2.74	0.325	0.288
1.61	3.77	8.71	0.87	1.53	4.53	0.27	0.215
1.53	4.31	7.49	0.45	0.67	1.8	0.377	0.319
1.42	2.33	10.71	1.4	1.68	4.54	0.362	0.276
1.26	4.15	7.57	0.74	1.66	4.56	0.273	0.231
1.21	2.68	4.53	0.41	1.58	5.41	0.333	0.301
1.21	2.68	4.53	0.41	1.58	5.41	0.333	0.301
1.21	2.68	4.53	0.41	1.58	5.41	0.333	0.301
1.11	2.25	3.94	0.75	1.32	3.52	0.301	0.283
1.01	3.56	9.33	1.11	1.16	3.96	0.407	0.326
0.99	1.39	7.61	1.25	1.29	4.56	0.302	0.264
0.9	4.08	8.17	0.79	1.44	4.8	0.374	0.309
0.86	3.63	6.56	0.88	1.52	3.74	0.296	0.258
0.83	3.77	6.98	0.91	1.3	3.37	0.332	0.287
0.78	4.26	8.53	0.89	1.31	4.21	0.389	0.314
