WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
5.46	1.3	5.74	0.13	1.19	3.76	0.276	0.232
3.82	2.92	3.89	0.52	1.0	2.07	0.251	0.235
2.92	3.62	4.06	0.27	1.19	2.89	0.282	0.255
2.11	3.66	4.68	0.81	1.41	3.97	0.34	0.313
1.86	2.55	3.75	0.94	1.33	3.18	0.251	0.245
1.8	2.82	4.5	0.86	1.41	3.91	0.263	0.248
1.7	4.12	4.82	0.44	1.27	3.63	0.281	0.253
1.66	4.05	4.26	0.62	1.4	3.77	0.287	0.266
1.56	2.74	2.74	0.82	1.41	4.18	0.289	0.284
1.44	4.3	3.33	0.49	1.28	4.1	0.266	0.252
1.44	4.3	3.33	0.49	1.28	4.1	0.266	0.252
1.44	4.3	3.33	0.49	1.28	4.1	0.266	0.252
1.16	3.57	8.81	1.23	1.4	4.2	0.296	0.245
0.91	3.51	4.52	0.6	1.64	3.62	0.303	0.277
0.28	3.43	5.02	0.73	1.44	4.33	0.299	0.272
0.26	4.55	4.36	0.76	1.42	3.96	0.274	0.256
0.18	3.57	3.23	0.68	1.43	4.35	0.288	0.275
-0.51	3.06	3.18	1.13	1.46	4.99	0.293	0.296
8.15	3.02	9.53	0.79	1.06	2.94	0.299	0.232
4.86	2.22	5.64	0.31	1.22	3.25	0.259	0.223
4.1	3.42	7.29	0.46	1.2	3.66	0.281	0.23
4.03	2.55	6.8	1.06	1.44	4.45	0.293	0.258
3.49	1.85	3.82	0.64	1.22	4.09	0.282	0.268
3.06	1.42	6.54	1.42	1.32	4.4	0.364	0.325
2.19	1.73	4.66	0.93	1.54	4.0	0.279	0.26
2.08	4.69	5.58	0.45	1.54	5.17	0.319	0.284
2.07	2.03	4.39	0.68	1.16	3.72	0.333	0.312
2.02	1.74	2.03	0.29	1.32	4.65	0.282	0.286
2.02	1.74	2.03	0.29	1.32	4.65	0.282	0.286
2.02	1.74	2.03	0.29	1.32	4.65	0.282	0.286
