WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
3.92	3.01	6.94	0.23	1.18	2.21	0.296	0.239
3.58	2.18	6.13	0.81	1.16	3.48	0.28	0.249
1.19	3.19	4.25	0.74	1.28	4.1	0.304	0.286
0.89	3.31	10.95	1.27	1.22	3.95	0.313	0.234
0.74	2.21	6.0	0.95	1.47	3.69	0.303	0.269
0.46	4.63	3.38	0.55	1.59	4.21	0.306	0.289
4.26	2.34	9.87	0.52	1.17	3.27	0.297	0.221
4.17	3.05	6.91	0.8	1.15	3.51	0.335	0.286
3.59	2.78	6.46	0.63	1.07	1.95	0.271	0.233
2.19	2.15	5.83	0.61	0.95	3.7	0.35	0.312
1.87	2.5	8.58	1.07	1.17	4.14	0.244	0.208
1.51	2.62	6.56	0.54	1.45	3.24	0.279	0.235
1.46	4.73	6.75	0.68	1.45	4.05	0.276	0.237
1.26	3.03	7.51	0.92	0.99	3.45	0.204	0.18
1.21	2.09	3.83	0.58	1.52	4.56	0.327	0.305
0.96	2.87	6.32	0.96	1.26	4.09	0.283	0.251
0.96	2.87	6.32	0.96	1.26	4.09	0.283	0.251
0.96	2.87	6.32	0.96	1.26	4.09	0.283	0.251
0.55	1.62	6.63	1.31	1.53	3.42	0.282	0.257
0.31	3.41	3.93	0.72	1.39	3.53	0.311	0.293
0.12	3.98	5.02	1.67	1.7	5.85	0.326	0.312
6.19	2.29	4.4	0.26	1.12	3.35	0.269	0.24
4.79	3.05	8.38	0.82	1.34	4.95	0.316	0.255
4.33	0.96	4.18	0.96	1.29	3.7	0.256	0.245
2.67	2.46	7.01	0.7	1.03	4.35	0.336	0.283
2.37	2.38	10.13	1.25	1.35	4.22	0.266	0.216
1.16	3.08	6.35	0.98	1.49	5.99	0.298	0.264
0.58	4.86	4.59	0.81	1.62	4.96	0.311	0.29
0.44	4.73	6.96	0.84	1.72	6.03	0.365	0.309
0.41	3.7	4.55	1.14	1.04	4.0	0.311	0.293
0.26	4.81	7.35	1.41	1.7	6.36	0.283	0.26
0.26	4.81	7.35	1.41	1.7	6.36	0.283	0.26
0.26	4.81	7.35	1.41	1.7	6.36	0.283	0.26
0.19	3.4	5.95	1.49	1.7	4.99	0.362	0.331
0.09	2.78	5.01	1.67	1.55	5.25	0.342	0.331
-0.43	5.23	6.1	2.03	2.32	6.51	0.427	0.4
